id;title;year;abstract
US-6587739-B1;Appliance communication and control system and appliances for use in same ;2000;A system of intelligent appliances coupled by common household power lines or wireless links. In particular, the system includes one of more of a kitchen console, a breadmaker, a slow cooker, and a rice cooker/steamer. One or more of the appliances serves as a system controller and may include a further communications interface for coupling to an external communications network, such as the telephone network. The system can thus be accessed and controlled remotely. The system can also communicate with and obtain information from remote sources such as Internet-based facilities.
US-7340676-B2;System and method for automatic layout of images in digital albums ;2000;A system and method for automatic creation of digital image albums. A Page Creator Module utilizes a genetic engine and a layout evaluation module. The genetic engine evolves a group of images to a plurality of album pages, based on certain layout criteria. The evaluation module calculates layout criteria and compares them with user preferences. When an acceptable image/page layout has been generated, the image/page assignments are transferred to an Image Placement Module. The Image Placement Module utilizes a second genetic engine, which evolves various criteria to generate page layouts genetic structures. These structures define the location, scale, and rotation of images placed on a given page. A layout evaluation module calculates and compares these layouts with certain other preferences and page requirements. When a suitable layout has been generated, a final album output is generated, which may be displayed, printed, or otherwise transferred for subsequent utilization.
US-6649416-B1;Intelligent electro-optical sensor array and method for analyte detection ;2000;The invention relates to a chemical sensor, sensing system and sensing method which provides for a multi-sensor, cross-reactive, sensor array having a rapid response time, dynamic modulation of sampling parameters, and real-time feedback control of sampling and detection conditions. The device and method provide for smart detection and discrimination of analytes in fluids through intelligent sampling, detection, and control algorithms. The invention further provides for a sensor array having discrete sensor elements dispersed on fluid-permeable, high surface area, porous, textured substrates. The innovative device and method exhibit high sensitivity, discrimination and detection capability for target analytes at ppb and sub ppm concentrations.
US-7055175-B1;Method and system for generating and using a virus free file certificate integrated within a file ;2000;"A method and system are disclosed for generating and using a virus-free file certificate integrated in a file. The method, for use in a virus-free certificate authority (102), for generating a virus-free certificate (200) certifying that a file is virus-free includes the steps of: receiving (300) a virus-free certificate request for a file from a server (101) or a client (100) system, said virus-free certificate request including the file for which the virus-free certificate is requested; determining (301) whether a virus-free certificate is integrated in the file; if no virus-free certificate is integrated in the file: determining (305) whether the file is virus-free or not; if the file is declared virus-free by the virus-free certificate authority (102): generating (313, 314) a virus-free certificate (200) including a file signature (207) for certifying that said file is declared virus-free by the virus-free certificate authority (102); integrating (316) the generated virus-free certificate (200) in the file; sending (316) back in response to the virus-free certificate request the file with the integrated virus-free certificate (200). The method for use in a server (101) or client (100) system, for determining that a file is virus-free includes the steps of: determining (401) whether a virus-free certificate (200) is integrated within a file; if a virus-free certificate is integrated within the file: authenticating (415) the virus-free certificate (200), said virus-free certificate including a certificate signature (206); authenticating (407) the file, said virus-free certificate (200) including a file signature (207), said file signature certifying that said file has been declared virus-free by a virus-free certificate authority (102)."
US-6751601-B2;Method and a system for solving dynamic problems using the dynamical system architecture ;2000;The invention consists of a learning system (108) based on the Dynamical System Architecture (DSA). Every implementation of the DSA is composed of a dynamic system (112) and a static system (116). The dynamic system (112) generates an intermediate output (114), which together with an external input (100) is fed into the static system (116), which produces a generated output (106). Every time the dynamic system (112) is reset it produces the same trajectory: an intermediate output (114) that does not cross over itself during the temporal span of each of the events generated by a reference system (102) whose behavior has to be duplicated. The static system (116) can be anything that behaves like a trainable universal function approximator. Training uses the intermediate output (114), the external input (100), the observed output (104) produced by the reference system (102) whose behavior is going to be mimicked, and a self-organizing procedure that only modifies the parameters of the static system (116). Training of the dynamic system (112) is not necessary.
US-6522268-B2;Systems and methods for multiple-file data compression ;2000;The systems and methods relate to the compression of multiple files into a single file called an archive. Before appending the multiple files as one file to be compressed, the systems and methods arrange the order of files to increase the potential of redundancy among neighboring files, thus providing potential improvement in compression ratio and compression speed. In using a dictionary method to compress the multiple files appended as one file, a large dictionary is used in one embodiment to take advantage of potential between-file redundancies. In another embodiment, the redundancy characteristics of the multiple files are examined to dynamically determine the dictionary size. After the dictionary compression method produces an intermediary output data file, the intermediary output data may be separated into multiple sections, and a compression method that is potentially suitable for the data characteristics of each section may be applied. The compressed results of each section are then combined to produce the final output.
US-6622059-B1;Automated process monitoring and analysis system for semiconductor processing ;2000;A method is provided for manufacturing, the method comprising processing a workpiece, measuring a parameter characteristic of the processing, and forming an output signal corresponding to the characteristic parameter measured by using the characteristic parameter measured as an input to a transistor model. The method also comprises predicting a wafer electrical test (WET) resulting value based on the output signal, detecting faulty processing based on the predicted WET resulting value, and correcting the faulty processing.
US-6671400-B1;Panoramic image navigation system using neural network for correction of image distortion ;2000;A system permitting one or more users to navigate a wide-angle image, and in particular a panoramic image, using a neural network to correct distortion in that image. To train the neural network, a calibration pattern which defines an array of calibration points is disposed to occupy a field of view of a wide-angle imaging apparatus, and a calibration image is thereby captured by the apparatus. Respective view directions of the calibration points and the positions of these points in the calibration image are used as data for training the neural network to correctly match view directions to corresponding intra-image positions. Subsequently, to generate an undistorted sub-image of an arbitrary distorted wide-angle image, an array of display pixel positions are expressed as a corresponding set of view directions, and the neural network used to convert these to a corresponding set of positions within the wide-angle image, with the video attributes at these positions being then assigned to the corresponding pixels of the sub-image.
US-6411871-B1;Autonomous navigation, guidance and control using LDRI ;2000;"An autonomous navigation, guidance, and control process for docking and formation flying by utilizing the laser dynamic range imager (LDRI) and key technologies, including fuzzy logic based guidance and control, optical flow calculation (including cross-correlation, phase-correlation, and image differential), software design and implementation, and verification methods. The autonomous navigation, guidance, and control process includes the steps of providing an expected reference position relative to a target; generating a carrier position and attitude relative to said target by a Range and Intensity Images Provider; producing a relative position and attitude error; and producing control commands from said relative position and attitude error for relative motion dynamics."
US-6990449-B2;Method of training a digital voice library to associate syllable speech items with literal text syllables ;2000;A method for converting text to concatenated voice by utilizing a digital voice library and a set of playback rules is provided. The digital voice library includes a plurality of speech items including words and syllables and a corresponding plurality of voice recordings. Each speech item corresponds to at least one available voice recording. The method comprises training the digital voice library to associate each syllable speech item with a literal text syllable of the particular syllable speech item.
