row_id,id,title,year,abstract
4501,US-10474147-B2,Autonomous vehicle ,2015,"An autonomous vehicle includes an input unit configured to receive selection input of at least one of a time mode for driving to a set destination, a fuel efficiency mode, a safety mode, or a comfort mode. The autonomous vehicle further includes a power source driver configured to control an engine comprising a supercharger or a turbocharger or both and a controller configured to control the power source driver to turn the supercharger or the turbocharger on or off according to the selected mode."
4502,US-10102189-B2,Construction of a phonetic representation of a generated string of characters ,2015,"Provided are methods, devices, and computer-readable media for generating a string of characters based on a set of rules; parsing the string of characters into string of graphemes; determining one or more phonetic representations for one or more graphemes in the string of graphemes based on a first data structure; determining at least one grapheme representation for one or more of the one or more phonetic representations based on a second data structure; and constructing the phonetic representation of the string of characters based on the grapheme representation that was determined."
4503,US-11652373-B2,Wireless charging method and apparatus thereof ,2015,"An electronic device is provided. The electronic device includes a housing, a wireless charging coil disposed inside the housing, a fan disposed inside the housing and in proximity to the coil, a temperature sensor disposed inside the housing and in proximity to the coil, a wireless charging circuit having the coil and configured to transmit power wirelessly to an external device via the coil, and a control circuit electrically connected to the fan, the temperature sensor, and the wireless charging circuit. The control circuit may be configured to receive a signal from the external device, receive data related to a temperature of the coil from the temperature sensor, and control the fan at least partially on the basis of at least one of the signal and the data."
4504,US-11601450-B1,Suspicious message report processing and threat response ,2015,"The present invention relates to methods, network devices, and machine-readable media for an integrated environment for automated processing of reports of suspicious messages, and furthermore, to a network for distributing information about detected phishing attacks."
4505,US-10146414-B2,Augmented physical and virtual manipulatives ,2015,"Techniques are disclosed for detecting, tracking, and recording data associated with physical manipulatives in a physical environment, and a corresponding set of virtual manipulatives in a virtual environment. Physical manipulative sensor devices may be configured to detect the position and/or movements of physical manipulatives within a physical environment, including simple or multi-step user interactions with physical manipulatives. The sensor devices and/or associated user computing devices may use the sensor data to determine updated positions, orientations, and configurations for one or more physical manipulatives within the physical environment, as well as defining relationships between sets of the physical manipulatives. Data identifying updated positions, orientations, configurations, and relationship of the physical manipulatives may be transmitted to associated user devices, and a corresponding virtual environment having virtual manipulatives may be output and updated via a graphical display screen to reflect the changes to the physical manipulatives within the physical environment."
4506,US-9582264-B1,Application rating prediction for defect resolution to optimize functionality of a computing device ,2015,"A computer-implemented method, system, and/or computer program product improves a functionality of a computing device by optimizing improvements to an application running on the computing device. Defects in an application identified by user reviews are prioritized by one or more processors to create a representational model of user reviews. A rating improvement to the application caused by changing the application to resolve complaints represented by top-k negative review representations that are clustered within the predetermined distance from the defect representation is predicted by the processor(s). Based on the predicted rating improvement, the processor(s) apply defect solutions that correct problems described in the top-k negative review representations that are clustered within the predetermined distance from the defect representation to generate an improved version of the application, and then install the improved version of the application on the computing device to improve the functionality of the computing device."
4507,US-10437717-B2,Defect reporting in application testing ,2015,"The present subject matter relates to defect reporting in application testing. In an implementation, a category of application testing is determined based on a testing instance of an application. The category of application testing is indicative of an aspect of the application, being tested. A list of previously reported defects associated with the determined category of application testing is displayed in a display layer over the testing instance of the application. A first user-input indicative of one of acceptance and rejection of a previously reported defect, from the list, with respect to the testing instance of the application is received. The first user-input is aggregated with previous user-inputs indicative of one of acceptance and rejection of the previously reported defect. It is determined whether the previously reported defect is irrelevant to the testing instance of the application based on the aggregation."
4508,US-10102421-B2,Method and device for face recognition in video ,2015,A method for face recognition in the video comprises: performing feature extraction on a target face in multiple image frames in the video to generate multiple face feature vectors respectively corresponding to the target face in the multiple image frames; performing time sequence feature extraction on the plurality of face feature vectors to convert the plurality of face feature vectors into a feature vector of a predetermined dimension; and judging the feature vector of the predetermined dimension by using a classifier so as to recognize the target face.
4509,US-11463786-B2,Cross-screen optimization of advertising placement ,2015,The current invention relates to a computer-generated method for optimizing placement of advertising content across multiple different devices. The system can allocate advertising campaigns and plans to various inventory types based on the probability of accurate consumer matching. Consumer matching can be achieved by generation of look-alike models in a consumer's device graph to predict future consumption behavior. The system includes an interface through which an advertiser can access relevant information about inventory and success of a given placement.
4510,US-10834218-B2,Event information system classifying messages using machine learning classification model and pushing selected message to user ,2015,"The present disclosure provides an event information push method performed at a computer system, the method including: collecting network messages from a social networking platform; performing aggregation on the network messages, to obtain corresponding event information; obtaining, for each piece of event information, one or more attributes from the corresponding category of network messages; obtaining, from an event information and user database, a user group corresponding to the one or more attributes of each piece of event information; and pushing each piece of event information to a user in the user group corresponding to the event information."
4511,US-10728012-B2,Method for operating switch and electronic device supporting the same ,2015,"An electronic device is provided. The electronic device includes a housing; a communication circuit in the housing and configured to generate a signal for a time division duplexer (TDD) and a frequency division duplexer (FDD); an antenna electrically connected with the communication circuit; a plurality of electrical paths; and a control circuit, wherein each electrical path comprises a first transistor configured to connect with each electrical path in series, and a second transistor configured to connect with each electrical path and a ground, wherein the control circuit is configured to receive a wireless signal, select at least one of the TDD and the FDD to transmit the received wireless signal, and selectively activate a first transistor and a second transistor disposed in at least one electrical path and first and second transistors disposed in at least another electrical path among the plurality of electrical paths based on the selection."
4512,US-10275209-B2,Sharing of custom audio processing parameters ,2015,Ambient sound is converted into an ambient audio stream. A processed ambient audio stream is generated by processing the ambient audio stream in accordance with a selected set of processing parameters selected from the plurality of processing parameter sets stored in the memory. Trigger data is searched and a new set of processing parameters is requested. The trigger data identifies the new set of processing parameters that is available for use in processing the ambient audio stream. A received new set of processing parameters is selected as the selected set of processing parameters. The processed ambient audio stream is converted into processed output sound.
4513,US-10394869-B2,Dynamically linking information in a network ,2015,"A method for dynamically linking information in a network using natural language processing on a computer system, the information being contained in a message of a user in the network, where a user interface of a user is provided being adapted for receiving and playing natural language input. The method including: (i) recording information from a first user in the network in natural language; (ii) translating the recorded information in natural language to a text information; (iii) identifying topics in the text information based on topics stored in a predefined database; (iv) combining the identified topics in the message with the set of weighted topics in the user profile of the first user; (v) updating a weight of each of the identified topics in the user profile of the first user; and (vi) publishing the text information."
