row_id,id,title,year,abstract
4001,US-11185253-B2,Pattern recognition system for quantifying the likelihood of the contribution of multiple possible forms of chronic disease to patient reported dyspnea ,2013,"Systems and methods for quantifying the likelihood of the contribution of multiple possible forms of chronic disease to patient reported dyspnea can include the testing protocol having a flow/volume loop, performed at rest, flowed by the measurement of cardiopulmonary exercise gas exchange variables during rest, exercise and recovery as unique data sets. The data sets are analyzed using feature extraction steps to produce a pictorial image consisting of disease silos displaying the likelihood of the contribution of various chronic diseases to patient reported dyspnea. In some embodiments, the silos are split into subclass silos. In some embodiments, multiple chronic disease indexes are used to differentiate between sub-types of a particular chronic disease (e.g., differentiating WHO 1 PH from WHO 2 or WHO 3 PH). Test results are plotted serially to asses to provide feedback to the physician on the efficacy of therapy provided to the patient."
4002,US-9639889-B2,Discovery engine storefront ,2013,"A method and a system of online shopping using a digital storefront. For example, a digital storefront having multiple touchscreen display surfaces presents a plurality of tiles to a user, where one or more tiles display images of items for sale and at least one hunch question which may be related to the environment. In further examples, a response is received from the user to one or more hunch questions, and items are recommended for the user and presented to the user in one or more updated tiles on a touchscreen display surface."
4003,US-10563981-B1,Automated motion data processing ,2013,"Motion data processing includes receiving a plurality of motion data samples, wherein the plurality of motion data samples comprises a plurality of acceleration data samples obtained by an accelerometer and a plurality of angular velocity data samples obtained by a gyroscope, and the plurality of motion data samples pertains to a plurality of motions performed by a user; and correcting for distortions in the motion data samples, including determining, based at least in part on some of the motion data samples, a set of one or more corrected core measurements of the user's body positions during a subset of the plurality of motions."
4004,US-10297250-B1,Asynchronous transfer of audio data ,2013,"The systems, devices, and processes described herein may asynchronously transfer audio signals from a voice-controlled device to a remote device. The audio signals may correspond to sound that is captured by multiple microphones of the voice-controlled device, which may then process the audio signals. The audio signals may also be transferred to the remote device for processing. Moreover, a determination of whether the voice-controlled device or the remote device is to process the audio signals may be based at least in part on the bandwidth of a network communicatively coupled to the voice-controlled device. The voice-controlled device may also cache and log the audio signals, and then asynchronously stream the audio signals to the remote device after the audio signals are initially processed, which may be based on the bandwidth of the network. The remote device may utilize the unprocessed audio signals to improve subsequent processing of audio signals."
4005,US-9734730-B2,Multi-modal modeling of temporal interaction sequences ,2013,"A multi-modal interaction modeling system can model a number of different aspects of a human interaction across one or more temporal interaction sequences. Some versions of the system can generate assessments of the nature or quality of the interaction or portions thereof, which can be used to, among other things, provide assistance to one or more of the participants in the interaction."
4006,US-9767596-B2,Method and apparatus for processing depth image ,2013,"A method of processing a depth image includes receiving a high-resolution color image and a low-resolution depth image corresponding to the high-resolution color image, generating a feature vector based on a depth distribution of the low-resolution depth image, selecting a filter to upsample the low-resolution depth image by classifying a generated feature vector according to a previously learnt classifier, upsampling the low-resolution depth image by using a selected filter, and outputting an upsampled high-resolution depth image."
4007,US-12020814-B1,User interface for clinical decision support ,2013,"Embodiments of the invention provide decision support services, including an enhanced user interface. A reason for a clinical visit is determined and an initial workflow may be provided via the user interface during a clinical visit. The workflow may include a set of initial user interface elements that are determined based on a context associated with the clinical visit. The set of initial user interface elements may include a first initial interface element associated with a pre-identified clinical concept. During the clinical visit, a first suggested interface element can be provided. The first suggested interface element is generated during the workflow based on detecting a selection of the first initial interface element. The first suggested interface element can be associated with a first suggested clinical concept that is related to the pre-identified clinical concept."
4008,US-10193897-B2,Identity and trustworthiness verification using online and offline components ,2013,"Methods and systems for verifying the identity and trustworthiness of a user of an online system are disclosed. In one embodiment, the method comprises receiving online and offline identity information for a user and comparing them to a user profile information provided by the user. Furthermore, the user's online activity in a third party online system and the user's offline activity are received. Based on the online activity and the offline activity a trustworthiness score may be calculated."
4009,US-9432248-B2,Dynamically computing fate sharing in computer networks using learning machines ,2013,"In one embodiment, a device (e.g., learning machine) determines a plurality of fate-sharing group (FSG) nodes in a computer network that are prone to simultaneously send an alarm upon detecting an event. As such, the device may elect one or more FSG owner nodes as a subset of the FSG nodes, and instructs the FSG group such that only FSG owner nodes send an alarm upon event detection."
4010,US-9996387-B2,Context switching for computing architecture operating on sequential data ,2013,"A data stream processing unit (DPU) and methods for its use and programming are disclosed. A DPU includes a number of processing elements (PEs) arranged in a physical sequence. Each datum in the data stream visits each PE in sequence. Each PE has a memory circuit, data and metadata input and output channels, and a computing circuit. The metadata input represents a partial computational state that is associated with each datum as it passes through the DPU. Each computing circuit implements a finite state machine that operates on the data and metadata inputs as a function of its position in the sequence and a data context, producing an altered partial computational state that accompanies the datum. When the data context changes, the current state of the finite state machine is stored, and a new state is loaded. The processing elements may be collectively programmed to perform any desired computation."
4011,US-9798982-B2,Determining a number of kernels using imbalanced training data sets ,2013,Determining a number of kernels within a model is provided. A number of kernels that include data samples of a majority data class of an imbalanced training data set is determined based on a set of generated artificial data samples for a minority data class of the imbalanced training data set. The number of kernels within the model is generated based on the set of generated artificial data samples. A likelihood of the set of generated artificial data samples being included in the majority data class of the imbalanced training data set is calculated. Parameters of each kernel in the number of kernels are updated based on the likelihood of the set of generated artificial data samples being included in the majority data class of the imbalanced training data set. Each kernel in the number of kernels is adjusted based on the updated parameters.
4012,US-11295221-B2,Learning user preferences in a conversational system ,2013,"Conversation user interfaces that are configured for virtual assistant interaction may include tasks to be completed that may have repetitious entry of the same or similar information. User preferences may be learned by the system and may be confirmed by the user prior to the learned preference being implemented. Learned preferences may be identified in near real-time on large collections of data for a large population of users. Further, the learned preferences may be based at least in part on previous conversations and actions between the system and the user as well as user-defined occurrence thresholds."
