row_id,id,title,year,abstract
6501,US-11798681-B2,Machine learning systems for training encoder and decoder neural networks ,2021,"Methods, systems, and apparatus, including computer programs encoded on a computer storage medium, for jointly training an encoder neural network and a decoder neural network. In one aspect, a method comprises: updating current values of a set of encoder parameters and current values of a set of decoder parameters using gradients of a reconstruction loss function that measures an error in a reconstruction of multi-modal data from a training example, wherein: the reconstruction loss function comprises a plurality of scaling factors that each scale a respective term in the reconstruction loss function that measures an error in the reconstruction of a corresponding proper subset of feature dimensions of the multi-modal data from the training example."
6502,US-11615250-B2,Information handling system and method for automatically generating a meeting summary ,2021,A method and apparatus for automatically generating a meeting summary is disclosed herein. Meeting audio is recorded and converted into a text-based transcript. Handwritten meeting notes are converted into notes text. The transcript and notes text are correlated to provide correlated meeting text. Meeting topics are determined from the correlated meeting text. A meeting summary is generated from the meeting topics.
6503,US-11886825-B2,Aspect-based sentiment analysis ,2021,"Systems and methods for natural language processing are described. One or more embodiments of the present disclosure generate a word embedding for each word of an input phrase, wherein the input phrase indicates a sentiment toward an aspect term, compute a gate vector based on the aspect term, identify a dependency tree representing relations between words of the input phrase, generate a representation vector based on the dependency tree and the word embedding using a graph convolution network, wherein the gate vector is applied to a layer of the graph convolution network, and generate a probability distribution over a plurality of sentiments based on the representation vector."
6504,US-11553005-B1,Provenance based identification of policy deviations in cloud computing environments ,2021,"Policy deviations for distributed computing environments are detected and recorded an immutable ledger of transaction provenance from end to end transactions performed in the distributed computing environment. From the immutable ledger, persona data for transaction types is plotted as an bipartite graph. Edge weights of the bipartite graphs are correlated to trust levels between personas from the persona data and the transaction types from the immutable ledger. Trust levels from the edge weights are correlated to rules illustrating when the transaction provenance indicate a policy deviation in the distributed computing environment. The rules are then employed to detect in real time end to end provenance when a policy deviation in the distributed computing environment is occurring. An alert of policy deviations may be sent to stakeholders for the distributed computing environment."
6505,US-11582453-B2,Multi-model selection for neural network based tools in video coding ,2021,"A method, computer program, and computer system is provided for video encoding and decoding. Video data including one or more frames is received. One or more quantization parameters associated with the received video data are determined for frame generation or enhancement of a target frame from among the one or more frames. The video data is decoded based on the determined quantization parameters."
6506,US-12060578-B2,Systems and methods for associating compounds with physiological conditions using fingerprint analysis ,2021,"Systems and methods for associating a compound with physiological conditions are provided. A fingerprint of a compound chemical structure is obtained and inputted to a model that outputs one or more calculated activation scores. Each activation score represents a cellular constituent module in a set of modules, where each module includes a subset of cellular constituents and a first module in the set of modules is associated with the physiological condition. When the activation score for the first module satisfies a threshold criterion, the compound is identified as associated with the physiological condition. In some aspects, each activation score represents a perturbation signature associated with the physiological condition and the compound is identified when the activation score for a first perturbation signature satisfies a threshold criterion. Systems and methods for training a model that associates compounds with physiological conditions are also provided."
6507,US-11952880-B2,Method and system for rate of penetration optimization using artificial intelligence techniques ,2021,"A method of automatic optimization of ROP. The method obtains a plurality of drilling surface parameters for a field of interest, and determines an UCS data and a MSE data for a targeted formation based on well logs. The method further trains a ML model using the drilling surface parameters as inputs, and outputs a plurality of weights for drilling parameters in a ROP equation and in a Teale's MSE equation for the field of interest. The method further combines the ML ROP equation with the Teale's MSE equation to determine a plurality of optimum drilling parameters by simultaneously solving the set of ML ROP equation and the Teale's MSE equation. Furthermore, the method generates a work order to adjust the drilling parameters and cause display of the work order and the determined optimum drilling parameters in a user interface of a client device."
6508,US-11985953-B2,Poultry health benchmarking system and method ,2021,"A method includes training, by at least one processor, an artificial intelligence model using a library of data associated with poultry, receiving, by the at least one processor, realtime information associated with a plurality of poultry from at least one imaging device at a particular location, determining, by the at least one processor, at least one benchmark based on the realtime information associated with the plurality of poultry from the at least one imaging device and using the artificial intelligence model, and generating and sending, by the at least one processor, an alert in realtime to a client computing device based on the realtime information associated with the plurality of poultry."
6509,US-11963110-B2,"Method and apparatus for detecting, managing antenna proximity, and user privacy by sharing radar sensing telemetry ",2021,"An information handling system may include a processor; a memory; a PMU; a wireless interface adapter for communicating, via a plurality of transceiving antennas operated by one or more radio frequency (RF) subsystems on a plurality of operating wireless links; a monolithic microwave integrated circuit (MMIC radar) to: scan for human presence around the information handling system; scan for human proximity near any of the plurality of transceiving antennas; an antenna controller to receive tagged telemetry data and execute an antenna proximity event algorithm using the tagged telemetry data as input and comparing the human proximity and movement relative to locations of the plurality of transceiving antennas on the information handling system; and an operating system to execute a privacy detect event module to identify a privacy detect event to secure the information handling system."
6510,US-11888891-B2,System and method for creating heuristic rules to detect fraudulent emails classified as business email compromise attacks ,2021,"A method for creating a heuristic rule to identify Business Email Compromise (BEC) attacks includes filtering text of received email messages, using a first classifier, to extract one or more terms indicative of a BEC attack from the text of the received email messages. One or more n-grams are generated, using the first classifier, based on the extracted terms. A vector representation of the extracted terms is generated, using a second classifier, based on the generated one or more n-grams. The second classifier includes a logit model. A weight coefficient is assigned to each of the one or more extracted terms based on an output of the trained logit model. A higher weight coefficient indicates higher relevancy to BEC attack of the corresponding term. A heuristic rule associated with the BEC attack is generated by combining the weight coefficients of a combination of the one or more extracted terms."
